protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,graph+geometric0+geometric1,graph+center0+center_upper1,right_minus_left,rmse_z,364,0.00014195116351988312,-0.0022245885687056134,0.002173684462147181
cluster,graph+geometric0+geometric_p1,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.001141995396730918,-0.0029007299247974768,0.0005483425420687649
cluster,graph+geometric0+geometric_p1,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,3.671011255303398e-05,-0.0022442769125547474,0.0021508450594172634
cluster,graph+geometric0+geometric_p1,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.00034289241967898543,-0.0011557449586357207,0.0017284109759686565
cluster,graph+geometric0+geometric_p1,graph+center0,right_minus_left,pcc,364,-0.0027509338484850844,-0.004923252067799873,-0.0005011577921817829
cluster,graph+geometric0+geometric_p1,graph+center0,right_minus_left,spearman,364,-0.0028590615954505335,-0.00549764670308119,-0.00029449687046430523
cluster,graph+geometric0+geometric_p1,graph+center0,right_minus_left,rmse_z,364,-0.000759856496504118,-0.003089093509376374,0.0014247810213022728
cluster,graph+geometric0+geometric_p1,graph+center0+center1,right_minus_left,pcc,364,-0.0031523732143777677,-0.005218789863128883,-0.0009616744405465997
cluster,graph+geometric0+geometric_p1,graph+center0+center1,right_minus_left,spearman,364,-0.0026615975377710273,-0.005534429083736454,0.00012008623944447587
cluster,graph+geometric0+geometric_p1,graph+center0+center1,right_minus_left,rmse_z,364,0.0009174199460449234,-0.0009116026034440356,0.0025503047357512266
cluster,graph+geometric0+geometric_p1,graph+center0+center_p1,right_minus_left,pcc,364,-0.002729127070991589,-0.005019629627058811,-0.0006347821378208006
cluster,graph+geometric0+geometric_p1,graph+center0+center_p1,right_minus_left,spearman,364,-0.0011107163209251787,-0.0038297266639936373,0.0016798946435546448
cluster,graph+geometric0+geometric_p1,graph+center0+center_p1,right_minus_left,rmse_z,364,0.000659361046777933,-0.0013468016104546939,0.0025081347323460614
cluster,graph+geometric0+geometric_p1,graph+center0+center_upper1,right_minus_left,pcc,364,-0.002203236277202035,-0.004713783013371508,0.0003317367836972135
cluster,graph+geometric0+geometric_p1,graph+center0+center_upper1,right_minus_left,spearman,364,-0.00015713535510398577,-0.0027992702014937696,0.0028858438454472967
cluster,graph+geometric0+geometric_p1,graph+center0+center_upper1,right_minus_left,rmse_z,364,-3.6708267047607235e-05,-0.002338519373675176,0.001905229938080853
cluster,graph+geometric0+geometric_upper1,graph+center0,right_minus_left,pcc,364,-0.0016089384517541663,-0.0036655712242380707,0.000520139631323991
cluster,graph+geometric0+geometric_upper1,graph+center0,right_minus_left,spearman,364,-0.0028957717080035678,-0.005702464107007791,-5.61579870672301e-05
cluster,graph+geometric0+geometric_upper1,graph+center0,right_minus_left,rmse_z,364,-0.0011027489161831035,-0.0031851956312329856,0.0008645464966883474
cluster,graph+geometric0+geometric_upper1,graph+center0+center1,right_minus_left,pcc,364,-0.00201037781764685,-0.004098178175669891,6.126609971952049e-05
cluster,graph+geometric0+geometric_upper1,graph+center0+center1,right_minus_left,spearman,364,-0.002698307650324061,-0.005697886694153446,0.0004328347430822389
cluster,graph+geometric0+geometric_upper1,graph+center0+center1,right_minus_left,rmse_z,364,0.0005745275263659381,-0.0013014896222477495,0.002369721746478777
cluster,graph+geometric0+geometric_upper1,graph+center0+center_p1,right_minus_left,pcc,364,-0.001587131674260671,-0.003941541189373367,0.0006906338317466434
cluster,graph+geometric0+geometric_upper1,graph+center0+center_p1,right_minus_left,spearman,364,-0.0011474264334782127,-0.004107657030534946,0.00203439782385561
cluster,graph+geometric0+geometric_upper1,graph+center0+center_p1,right_minus_left,rmse_z,364,0.00031646862709894756,-0.0013554239885166443,0.0019469323826484296
cluster,graph+geometric0+geometric_upper1,graph+center0+center_upper1,right_minus_left,pcc,364,-0.0010612408804711168,-0.003064951852298416,0.001053662200551249
cluster,graph+geometric0+geometric_upper1,graph+center0+center_upper1,right_minus_left,spearman,364,-0.00019384546765702004,-0.00279494369942631,0.002623252362751642
cluster,graph+geometric0+geometric_upper1,graph+center0+center_upper1,right_minus_left,rmse_z,364,-0.00037960068672659265,-0.002223540594008118,0.0012480210372136098
cluster,graph+center0,graph+center0+center1,right_minus_left,pcc,364,-0.00040143936589268346,-0.0022344010491584165,0.001322479987091168
cluster,graph+center0,graph+center0+center1,right_minus_left,spearman,364,0.00019746405767950647,-0.0019374738295148421,0.0027333196149566686
cluster,graph+center0,graph+center0+center1,right_minus_left,rmse_z,364,0.0016772764425490411,6.99361891096593e-05,0.0034387533431684807
cluster,graph+center0,graph+center0+center_p1,right_minus_left,pcc,364,2.1806777493495388e-05,-0.0017545892593524809,0.0016763482603920458
cluster,graph+center0,graph+center0+center_p1,right_minus_left,spearman,364,0.0017483452745253552,-0.00031980730577859154,0.00404803205974534
cluster,graph+center0,graph+center0+center_p1,right_minus_left,rmse_z,364,0.001419217543282051,-4.127007234376092e-05,0.0031121293484843732
cluster,graph+center0,graph+center0+center_upper1,right_minus_left,pcc,364,0.0005476975712830493,-0.0010018002875958787,0.0020961245267452494
cluster,graph+center0,graph+center0+center_upper1,right_minus_left,spearman,364,0.0027019262403465472,0.000955885697499532,0.004622953872109228
cluster,graph+center0,graph+center0+center_upper1,right_minus_left,rmse_z,364,0.0007231482294565108,-0.0005407854236638741,0.0020255508750402144
cluster,graph+center0+center1,graph+center0+center_p1,right_minus_left,pcc,364,0.0004232461433861789,-0.0012842473911250764,0.0020776686038424365
cluster,graph+center0+center1,graph+center0+center_p1,right_minus_left,spearman,364,0.0015508812168458484,-0.00044096009386192513,0.00374945855513481
cluster,graph+center0+center1,graph+center0+center_p1,right_minus_left,rmse_z,364,-0.0002580588992669905,-0.0016625977470171077,0.0013031404768322611
cluster,graph+center0+center1,graph+center0+center_upper1,right_minus_left,pcc,364,0.0009491369371757328,-0.0007851562539568434,0.002765121201299137
cluster,graph+center0+center1,graph+center0+center_upper1,right_minus_left,spearman,364,0.002504462182667041,0.0005039243543629157,0.004531908869096113
